йЫДИЙЭР DSLAM;EMS DSLAM Name;╪МОЛА DSLAM;DSLAM Uplink Port;╪МОЛА еНОПКИСЛОЩ еПЭЛЕМОУ Hop;тЩПОР еНОПКИСЛОЩ еПЭЛЕМОУ Hop;пЭЯТА еПЭЛЕМОУ Hop;TЩПОР пЭЯТАР еПЭЛЕМОУ Hop;йЫДИЙЭР EETT DSLAM;пЕЯИЖщЯЕИА DSLAM;дИАЛщЯИСЛА DSLAM;оМОЛАСъА йщМТЯОУ DSLAM;DSLAM тей;DSLAM ONU;йЫДИЙЭР йщМТЯОУ DSLAM;йЫДИЙЭР EETT еПЭЛЕМОУ Hop;пЕЯИЖщЯЕИА еПЭЛЕМОУ Hop;дИАЛщЯИСЛА еПЭЛЕМОУ Hop;оМОЛАСъА йщМТЯОУ еПЭЛЕМОУ Hop;тей еПЭЛЕМОУ Hop;ONU еПЭЛЕМОУ Hop;йЫДИЙЭР йщМТЯОУ еПЭЛЕМОУ Hop
16477;ARGOL_ANDRITSA_D_ALC_16477;ARGO/ARGO/T017/DS_7356/001;1;asw-tri1-steno-5624a;SWTETH;g1/0/5;ETHPRT;30009;т.п.мотиас екк.;т.д.мотиоам.пекоп;т.е.й. аяцоус;7502;лкам;авкадойалпос_амдяитса;40246;т.п.мотиас екк.;т.д.мотиоам.пекоп;т.е.й. тяипокеыс;7103; ;стемо
16478;ARGOL_VELANIDIA_D_ALC_16478;ARGO/ARGO/T018/DS_7356/001;1;asw-tri1-steno-5624a;SWTETH;g1/0/5b;ETHPRT;30071;т.п.мотиас екк.;т.д.мотиоам.пекоп;т.е.й. аяцоус;7502;лкбе;авкадойалпос_бекамидиа;40246;т.п.мотиас екк.;т.д.мотиоам.пекоп;т.е.й. тяипокеыс;7103; ;стемо
16481;RETHI_PIGI.KAV_D_ALC_16481_KV;RETH/RETH/T047/DS_7356/001;1;asw-hera9ka-rethimno-8508a;SWTETH;g8/1/17;ETHPRT;460139;т.п.мотиас екк.;т.д. йягтгс;т.е.й. яехулмоу;8301;4908;пгцг_йабоуси;460051;т.п.мотиас екк.;т.д. йягтгс;т.е.й. яехулмоу;8301; ;яехулмо
16482;FOKID_STROMI_D_ALC_16482;FOKI/AMFI/D001/DS_7356/001;1;R/H COSMOTE;CLOUD;стяылг;GENPRT;170077;т.п.мотиас екк.;т.д. йемтя. екк/еуб.;т.е.й. алжиссас;2101;7333;лауяокихаяи_стяылг; ; ; ; ; ; ; 
16512;ATTIC_COSM.KIFISIA76_D_ALC_16512;AATT/MARO/T173/DS_7356/001;11-иАМ;maro-asr9kb;SWTETH;Bundle-Ether14117;ETSBPrt;66727;т.п.мотиас екк.;т.д. ба./мот. атт;т.е.й. алаяоусиоу;1652;777;COSMOTE_KIFISIAS_76;60274;т.п.мотиас екк.;т.д. ба./мот. атт;т.е.й. алаяоусиоу;1652; ;лаяоуси
16513;ATTIC_COSM.PANEPISTI_D_ALC_16513;ATHA/ATHI/T002/DS_7356/001;1;asw-kol1-athina-8508a;SWTETH;g6/1/16;ETHPRT;66728;т.п.мотиас екк.;т.д. ахгмас;т.е.й. ахгмас;1250;777;COSMOTE_PANEPISTIMIOU_39;60286;т.п.мотиас екк.;т.д. ахгмас;т.е.й. ахгмас;1250; ;ахгма
16514;ATTIC_GERM.N.IRAKLIO_D_ALC_16514;AATT/NIRA/T179/DS_7356/001;11-иАМ;nion-asr9ka;SWTETH;Bundle-Ether13018;ETSBPrt;66729;т.п.мотиас екк.;т.д. ба./мот. атт;т.е.й. алаяоусиоу;1652;777;цеяламос_гяайкеиоу_374;60260;т.п.мотиас екк.;т.д. ахгмас;т.е.й. меас  иымиас;1153; ;м. иымиа
16580;ATTIC_PSYCHIKO_D_HUA_16580_KV;AATT/PSYH/T095/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether15109;ETSBPrt;62924;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;120;ьувийо_ц2R;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16581;ATTIC_PSYCHICO_D_HUA_16581_KV;AATT/PSYH/T069/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether12107;ETSBPrt;62925;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;204;ьувийо_ц2R;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16582;ATTIC_PSYCHICO_D_HUA_16582_KV;AATT/PSYH/T050/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether14117;ETSBPrt;62929;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;248;ьувийо_ц2R;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
